GEOmeID,NAME,MedianIncome
0500000US01003,"Baldwin County, Alabama",72915
0500000US01015,"Calhoun County, Alabama",50780
0500000US01043,"Cullman County, Alabama",58923
0500000US01049,"DeKalb County, Alabama",43509
0500000US01051,"Elmore County, Alabama",72478
0500000US01055,"Etowah County, Alabama",52192
0500000US01069,"Houston County, Alabama",59335
0500000US01073,"Jefferson County, Alabama",64623
0500000US01077,"Lauderdale County, Alabama",64864
0500000US01081,"Lee County, Alabama",60358
0500000US01083,"Limestone County, Alabama",81942
0500000US01089,"Madison County, Alabama",86192
0500000US01095,"Marshall County, Alabama",60298
0500000US01097,"Mobile County, Alabama",55352
0500000US01101,"Montgomery County, Alabama",60739
0500000US01103,"Morgan County, Alabama",75028
0500000US01115,"St. Clair County, Alabama",81334
0500000US01117,"Shelby County, Alabama",88070
0500000US01121,"Talladega County, Alabama",61111
0500000US01125,"Tuscaloosa County, Alabama",60926
0500000US02020,"Anchorage Municipality, Alaska",94437
0500000US02090,"Fairbanks North Star Borough, Alaska",86391
0500000US02170,"Matanuska-Susitna Borough, Alaska",93673
0500000US04001,"Apache County, Arizona",40539
0500000US04003,"Cochise County, Arizona",52025
0500000US04005,"Coconino County, Arizona",71738
0500000US04013,"Maricopa County, Arizona",87048
0500000US04015,"Mohave County, Arizona",55954
0500000US04017,"Navajo County, Arizona",50754
0500000US04019,"Pima County, Arizona",69758
0500000US04021,"Pinal County, Arizona",77143
0500000US04025,"Yavapai County, Arizona",67245
0500000US04027,"Yuma County, Arizona",62888
0500000US05007,"Benton County, Arkansas",92759
0500000US05031,"Craighead County, Arkansas",59776
0500000US05045,"Faulkner County, Arkansas",67786
0500000US05051,"Garland County, Arkansas",52275
0500000US05069,"Jefferson County, Arkansas",49045
0500000US05085,"Lonoke County, Arkansas",75327
0500000US05119,"Pulaski County, Arkansas",61129
0500000US05125,"Saline County, Arkansas",77278
0500000US05131,"Sebastian County, Arkansas",57949
0500000US05143,"Washington County, Arkansas",65465
0500000US05145,"White County, Arkansas",53688
0500000US06001,"Alameda County, California",119931
0500000US06007,"Butte County, California",63222
0500000US06013,"Contra Costa County, California",122794
0500000US06017,"El Dorado County, California",108594
0500000US06019,"Fresno County, California",71689
0500000US06023,"Humboldt County, California",61621
0500000US06025,"Imperial County, California",60243
0500000US06029,"Kern County, California",68893
0500000US06031,"Kings County, California",66429
0500000US06033,"Lake County, California",59444
0500000US06037,"Los Angeles County, California",86587
0500000US06039,"Madera County, California",66553
0500000US06041,"Marin County, California",139644
0500000US06045,"Mendocino County, California",67454
0500000US06047,"Merced County, California",57570
0500000US06053,"Monterey County, California",88035
0500000US06055,"Napa County, California",104686
0500000US06057,"Nevada County, California",87998
0500000US06059,"Orange County, California",110042
0500000US06061,"Placer County, California",109713
0500000US06065,"Riverside County, California",90527
0500000US06067,"Sacramento County, California",90252
0500000US06069,"San Benito County, California",107324
0500000US06071,"San Bernardino County, California",85069
0500000US06073,"San Diego County, California",103674
0500000US06075,"San Francisco County, California",126730
0500000US06077,"San Joaquin County, California",87418
0500000US06079,"San Luis Obispo County, California",90670
0500000US06081,"San Mateo County, California",151485
0500000US06083,"Santa Barbara County, California",91197
0500000US06085,"Santa Clara County, California",154954
0500000US06087,"Santa Cruz County, California",105631
0500000US06089,"Shasta County, California",75949
