GEOmeID,NAME,MedianIncome
0400000US01,Alabama,62212
0400000US02,Alaska,86631
0400000US04,Arizona,77315
0400000US05,Arkansas,58700
0400000US06,California,95521
0400000US08,Colorado,92911
0400000US09,Connecticut,91665
0400000US10,Delaware,81361
0400000US11,District of Columbia,108210
0400000US12,Florida,73311
0400000US13,Georgia,74632
0400000US15,Hawaii,95322
0400000US16,Idaho,74942
0400000US17,Illinois,80306
0400000US18,Indiana,69477
0400000US19,Iowa,71433
0400000US20,Kansas,70333
0400000US21,Kentucky,61118
0400000US22,Louisiana,58229
0400000US23,Maine,73733
0400000US24,Maryland,98678
0400000US25,Massachusetts,99858
0400000US26,Michigan,69183
0400000US27,Minnesota,85086
0400000US28,Mississippi,54203
0400000US29,Missouri,68545
0400000US30,Montana,70804
0400000US31,Nebraska,74590
0400000US32,Nevada,76364
0400000US33,New Hampshire,96838
0400000US34,New Jersey,99781
0400000US35,New Mexico,62268
0400000US36,New York,82095
0400000US37,North Carolina,70804
0400000US38,North Dakota,76525
0400000US39,Ohio,67769
0400000US40,Oklahoma,62138
0400000US41,Oregon,80160
0400000US42,Pennsylvania,73824
0400000US44,Rhode Island,84972
0400000US45,South Carolina,67804
0400000US46,South Dakota,71810
0400000US47,Tennessee,67631
0400000US48,Texas,75780
0400000US49,Utah,93421
0400000US50,Vermont,81211
0400000US51,Virginia,89931
0400000US53,Washington,94605
0400000US54,West Virginia,55948
0400000US55,Wisconsin,74631
0400000US56,Wyoming,72415
0400000US72,Puerto Rico,25621
